keys,en,de,zh,pt_BR,es
YARN_line:tutorial-tom-01,Tom: Uh.. hello?,Tom: Ah. Hallo?,Tom: 呃……有人吗？,Tom: Ahm… ola?,Tom: Uh… ¿Hola? 
YARN_line:tutorial-tom-02,Tom: Is anyone there?,Tom: Ist da jemand?,Tom: 有人在吗？,Tom: Tem alguem ai?,Tom: ¿Hay alguien ahí? 
YARN_line:tutorial-anne-01,Anne: Hi there!,Anne: Hallo!,Anne: 嗨，你好！,Anne: Oi!,Anne: ¡Hola!
YARN_line:tutorial-tom-03,Tom: Who are you?,Tom: Wer bist Du?,Tom: 你是谁？,Tom: Quem e voce?,Tom: ¿Quién eres? 
YARN_line:tutorial-tom-04,Tom: And where are you?,Tom: Und Wo bist Du?,Tom: 你在哪呢？,Tom: E onde voce esta?,Tom: ¿Y dónde estás? 
YARN_line:tutorial-anne-02,Anne: I'm Anne! I'm right here!,Anne: Ich bin Anne! Ich bin hier!,Anne: 我是Anne！我就在这！,"Anne: Eu sou a Anne! Estou aqui, o!",Anne: ¡Soy Anne! ¡Y estoy aquí! 
YARN_line:tutorial-tom-05,Tom: Where am I?,Tom: Wo bin ich denn?,Tom: 这是哪里？,Tom: Onde eu estou?,Tom: ¿Dónde estoy? 
YARN_line:tutorial-anne-03,Anne: You're floating in a featureless void!,Anne: Du treibst in einer gahnenden Leere!,Anne: 你正漂浮在浩瀚的虚空中！,Anne: Voce esta flutuando num completo vazio!,Anne: ¡Estás flotando en un espacio anodino! 
YARN_line:tutorial-tom-06,Tom: I can see that..,Tom: Das sehe ich..,Tom: 我感觉也是……,Tom: E… eu percebi…,Tom: Eso veo… 
YARN_line:tutorial-tom-07,Tom: How did I get here?,Tom: Wie kam ich hierher?,Tom: 我为什么在这？,Tom: Como eu vim parar aqui?,Tom: ¿Cómo llegué aquí? 
YARN_line:tutorial-anne-04,"Anne: Oh, a writer put you here. This is a test conversation for Yarn Spinner!","Anne: Oh, ein Autor hat dich hergebracht. Die ist ein Test Gesprach fur Yarn Spinner!",Anne: 哦，是一名作家把你放在这的。这是为 Yarn Spinner 准备的测试对话！,"Anne: Ah, foi um escritor que colocou voce aqui. Isso e um teste de conversa para o Yarn Spinner!","Anne: Oh, un escritor te puso ahí. ¡Esta es una conversación de prueba para Yarn Spinner! "
YARN_line:tutorial-tom-08,Tom: What's Yarn Spinner?,Tom: Was ist Yarn Spinner?,Tom: Yarn Spinner 是谁？,Tom: O que e Yarn Spinner?,Tom: ¿Qué es Yarn Spinner? 
YARN_line:tutorial-anne-05,Anne: Don't worry about it!,Anne: Kein Grund zur Sorge!,Anne: 别管那个了！,Anne: Nao esquenta com isso!,Anne: ¡No te preocupes por eso! 
YARN_line:tutorial-tom-09,"Tom: This is weird, Anne.","Tom: Das ist so seltsam, Anne.",Tom: 这里好奇怪，Anne。,"Tom: Isso e estranho, Anne.","Tom: Esto es raro, Anne. "
YARN_line:tutorial-tom-10,Tom: This is really confusing.,Tom: Das ist wirklich verwirrend.,Tom: 我实在是一头雾水。,"Tom: E confuso, mesmo.",Tom: Es muy confuso. 
YARN_line:tutorial-anne-06,Anne: That's ok! This will all go away in a moment.,Anne: Alles gut! Dies alles verschwindet in Kurze.,Anne: 没关系！这一切很快就会结束的。,Anne: Ta tudo bem! Isso vai sumir num instante.,Anne: ¡No pasa nada! Todo esto desaparecerá en un momento. 
YARN_line:tutorial-tom-11,Tom: What?!,Tom: Wie? Was?,Tom: 什么结束？！,Tom: O que?!,Tom: ¡¿Qué?!
